id,Name,MedianIncomeDollars
0500000US01001,"Autauga County, Alabama",58786
0500000US01003,"Baldwin County, Alabama",55962
0500000US01005,"Barbour County, Alabama",34186
0500000US01007,"Bibb County, Alabama",45340
0500000US01009,"Blount County, Alabama",48695
0500000US01011,"Bullock County, Alabama",32152
0500000US01013,"Butler County, Alabama",39109
0500000US01015,"Calhoun County, Alabama",45197
0500000US01017,"Chambers County, Alabama",39872
0500000US01019,"Cherokee County, Alabama",41014
0500000US01021,"Chilton County, Alabama",45182
0500000US01023,"Choctaw County, Alabama",34884
0500000US01025,"Clarke County, Alabama",36127
0500000US01027,"Clay County, Alabama",41225
0500000US01029,"Cleburne County, Alabama",40188
0500000US01031,"Coffee County, Alabama",53155
0500000US01033,"Colbert County, Alabama",47558
0500000US01035,"Conecuh County, Alabama",33177
0500000US01037,"Coosa County, Alabama",38301
0500000US01039,"Covington County, Alabama",40601
0500000US01041,"Crenshaw County, Alabama",39812
0500000US01043,"Cullman County, Alabama",42558
0500000US01045,"Dale County, Alabama",45960
0500000US01047,"Dallas County, Alabama",31602
0500000US01049,"DeKalb County, Alabama",39233
0500000US01051,"Elmore County, Alabama",59347
0500000US01053,"Escambia County, Alabama",35000
0500000US01055,"Etowah County, Alabama",44023
0500000US01057,"Fayette County, Alabama",37458
0500000US01059,"Franklin County, Alabama",40459
0500000US01061,"Geneva County, Alabama",38142
0500000US01063,"Greene County, Alabama",21804
0500000US01065,"Hale County, Alabama",30571
0500000US01067,"Henry County, Alabama",48610
0500000US01069,"Houston County, Alabama",45496
0500000US01071,"Jackson County, Alabama",39816
0500000US01073,"Jefferson County, Alabama",51979
0500000US01075,"Lamar County, Alabama",36756
0500000US01077,"Lauderdale County, Alabama",46265
0500000US01079,"Lawrence County, Alabama",44515
0500000US01081,"Lee County, Alabama",48056
0500000US01083,"Limestone County, Alabama",56460
0500000US01085,"Lowndes County, Alabama",30833
0500000US01087,"Macon County, Alabama",32074
0500000US01089,"Madison County, Alabama",63417
0500000US01091,"Marengo County, Alabama",32809
0500000US01093,"Marion County, Alabama",35392
0500000US01095,"Marshall County, Alabama",42490
0500000US01097,"Mobile County, Alabama",46166
0500000US01099,"Monroe County, Alabama",30141
0500000US01101,"Montgomery County, Alabama",47990
0500000US01103,"Morgan County, Alabama",49751
0500000US01105,"Perry County, Alabama",23561
0500000US01107,"Pickens County, Alabama",37458
0500000US01109,"Pike County, Alabama",34678
0500000US01111,"Randolph County, Alabama",41449
0500000US01113,"Russell County, Alabama",40978
0500000US01115,"St. Clair County, Alabama",54887
0500000US01117,"Shelby County, Alabama",75761
0500000US01119,"Sumter County, Alabama",23132
0500000US01121,"Talladega County, Alabama",41012
0500000US01123,"Tallapoosa County, Alabama",43361
0500000US01125,"Tuscaloosa County, Alabama",52221
0500000US01127,"Walker County, Alabama",41748
0500000US01129,"Washington County, Alabama",40794
0500000US01131,"Wilcox County, Alabama",27237
0500000US01133,"Winston County, Alabama",38504
0500000US02013,"Aleutians East Borough, Alaska",69706
0500000US02016,"Aleutians West Census Area, Alaska",85517
0500000US02020,"Anchorage Municipality, Alaska",83280
0500000US02050,"Bethel Census Area, Alaska",54212
0500000US02060,"Bristol Bay Borough, Alaska",84688
0500000US02068,"Denali Borough, Alaska",84196
0500000US02070,"Dillingham Census Area, Alaska",58750
0500000US02090,"Fairbanks North Star Borough, Alaska",77095
0500000US02100,"Haines Borough, Alaska",64342
0500000US02105,"Hoonah-Angoon Census Area, Alaska",63603
0500000US02110,"Juneau City and Borough, Alaska",88213
0500000US02122,"Kenai Peninsula Borough, Alaska",66684
0500000US02130,"Ketchikan Gateway Borough, Alaska",70356
0500000US02150,"Kodiak Island Borough, Alaska",78281
0500000US02158,"Kusilvak Census Area, Alaska",35539
0500000US02164,"Lake and Peninsula Borough, Alaska",46406
0500000US02170,"Matanuska-Susitna Borough, Alaska",75905
0500000US02180,"Nome Census Area, Alaska",58987
0500000US02185,"North Slope Borough, Alaska",75431
0500000US02188,"Northwest Arctic Borough, Alaska",62949
0500000US02195,"Petersburg Borough, Alaska",66907
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",54191
0500000US02220,"Sitka City and Borough, Alaska",71534
0500000US02230,"Skagway Municipality, Alaska",72237
0500000US02240,"Southeast Fairbanks Census Area, Alaska",71541
0500000US02261,"Valdez-Cordova Census Area, Alaska",82306
0500000US02275,"Wrangell City and Borough, Alaska",57583
0500000US02282,"Yakutat City and Borough, Alaska",65833
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",40000
0500000US04001,"Apache County, Arizona",32963
